Fr,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31, ch0 , ch1 , ch2 , ch3 , ch4 , ch5 , ch6 , ch7 , ch8 , ch9 , ch10 , ch11 , ch12 , ch13 , ch14 , ch15 , ch16 , ch17 , ch18 , ch19 , ch20 , ch21 , ch22 , ch23 , ch24 , ch25 , ch26 , ch27 , ch28 , ch29 , ch30 , ch31 
10,524.0622025,838.7834679,536.1677735,617.1322619,491.8008933,499.9933174,481.9203397,494.8672639,490.076118,457.1844604,656.4264717,486.0420964,456.1238004,539.8339835,458.2661495,484.8272455,168.943599,492.0858189,447.0456713,486.8033504,505.3927231,566.8990912,674.8989409,604.5525322,741.5355967,645.8825096,743.1501609,669.7697556,635.1407623,460.7063326,417.7501947,648.5664069,524.0622025,838.7834679,536.1677735,617.1322619,491.8008933,499.9933174,481.9203397,494.8672639,490.076118,457.1844604,656.4264717,486.0420964,456.1238004,539.8339835,458.2661495,484.8272455,168.943599,492.0858189,447.0456713,486.8033504,505.3927231,566.8990912,674.8989409,604.5525322,741.5355967,645.8825096,743.1501609,669.7697556,635.1407623,460.7063326,417.7501947,648.5664069
11,517.6203325,757.237014,514.2052432,581.2040319,483.5789719,491.3101177,477.9459398,490.2050062,465.6893448,421.4579313,600.910394,451.9424644,441.5380853,494.0979147,426.5222341,470.3528609,86.3086764,432.4863521,398.5409849,451.0165471,450.9229621,483.1850635,525.3125075,490.7907075,715.2347479,670.1955026,729.924054,672.5892095,658.3241978,506.0542186,469.3555122,687.3275066,517.6203325,757.237014,514.2052432,581.2040319,483.5789719,491.3101177,477.9459398,490.2050062,465.6893448,421.4579313,600.910394,451.9424644,441.5380853,494.0979147,426.5222341,470.3528609,86.3086764,432.4863521,398.5409849,451.0165471,450.9229621,483.1850635,525.3125075,490.7907075,715.2347479,670.1955026,729.924054,672.5892095,658.3241978,506.0542186,469.3555122,687.3275066
12,260.889656,317.8497926,274.3787268,273.5792384,275.5994598,269.7871844,269.9577078,253.6357036,279.1238624,251.784596,272.2970065,245.6974466,242.8536719,270.4597228,240.9864208,247.9829495,31.4002951,256.5133566,241.1992839,261.1341179,265.5395054,282.8876458,331.9809466,287.5454913,317.1035104,284.4803245,304.0270137,290.2195698,250.6073994,194.0865347,191.7845341,277.0745907,260.889656,317.8497926,274.3787268,273.5792384,275.5994598,269.7871844,269.9577078,253.6357036,279.1238624,251.784596,272.2970065,245.6974466,242.8536719,270.4597228,240.9864208,247.9829495,31.4002951,256.5133566,241.1992839,261.1341179,265.5395054,282.8876458,331.9809466,287.5454913,317.1035104,284.4803245,304.0270137,290.2195698,250.6073994,194.0865347,191.7845341,277.0745907
13,160.2188433,196.8213759,165.3454574,175.051165,165.9225499,166.5671882,164.5671903,159.922077,174.975768,159.7171049,180.5207447,159.7246219,153.8217774,171.1420171,155.4208782,158.7616652,16.48040401,163.9208814,150.487773,165.7943169,170.1425646,180.1564081,209.3325725,181.6064271,190.9622607,175.0077096,180.4404718,179.1242981,156.351062,119.9472302,120.498077,172.0087226,160.2188433,196.8213759,165.3454574,175.051165,165.9225499,166.5671882,164.5671903,159.922077,174.975768,159.7171049,180.5207447,159.7246219,153.8217774,171.1420171,155.4208782,158.7616652,16.48040401,163.9208814,150.487773,165.7943169,170.1425646,180.1564081,209.3325725,181.6064271,190.9622607,175.0077096,180.4404718,179.1242981,156.351062,119.9472302,120.498077,172.0087226
14,33.71025491,42.42742661,29.35767914,38.77310974,28.60149329,30.0329551,29.67720513,32.53866369,29.08347184,26.28054207,38.3665727,29.72336181,27.44332532,29.72838327,27.54819258,29.71963414,2.132026114,25.58049228,22.04668808,26.64785486,27.30275568,28.08192614,28.83300155,27.72063629,42.12087379,42.83847625,40.87134182,41.80726616,40.55033428,33.60674646,30.66948393,43.72872564,33.71025491,42.42742661,29.35767914,38.77310974,28.60149329,30.0329551,29.67720513,32.53866369,29.08347184,26.28054207,38.3665727,29.72336181,27.44332532,29.72838327,27.54819258,29.71963414,2.132026114,25.58049228,22.04668808,26.64785486,27.30275568,28.08192614,28.83300155,27.72063629,42.12087379,42.83847625,40.87134182,41.80726616,40.55033428,33.60674646,30.66948393,43.72872564
15,3.345130975,4.41011746,3.200197981,3.777632896,2.942380618,3.052579775,3.049923862,3.373609803,2.819030059,2.56272585,3.636354398,2.820574577,2.655645455,2.974284462,2.58043009,2.844925465,0.411086933,2.490256336,2.291509948,2.598536577,2.626783985,2.854342457,3.394597637,2.9907091,4.163293924,4.369589758,4.324542245,4.267718815,4.094865065,3.107556444,2.779431178,4.271795729,3.345130975,4.41011746,3.200197981,3.777632896,2.942380618,3.052579775,3.049923862,3.373609803,2.819030059,2.56272585,3.636354398,2.820574577,2.655645455,2.974284462,2.58043009,2.844925465,0.411086933,2.490256336,2.291509948,2.598536577,2.626783985,2.854342457,3.394597637,2.9907091,4.163293924,4.369589758,4.324542245,4.267718815,4.094865065,3.107556444,2.779431178,4.271795729
16,8.487829337,13.01530278,8.720908908,9.589107276,8.179179539,7.914935779,8.224245076,7.914659976,7.489274685,6.987201197,9.250452076,7.254586296,7.087296167,7.759011256,7.00904149,7.501540679,1.085921895,7.254145955,6.285927275,7.268961319,7.001867756,7.518037492,8.356685585,7.790822449,11.0844499,9.458860757,10.56956903,10.49216268,8.108840904,5.590669948,6.252323134,9.089817312,8.487829337,13.01530278,8.720908908,9.589107276,8.179179539,7.914935779,8.224245076,7.914659976,7.489274685,6.987201197,9.250452076,7.254586296,7.087296167,7.759011256,7.00904149,7.501540679,1.085921895,7.254145955,6.285927275,7.268961319,7.001867756,7.518037492,8.356685585,7.790822449,11.0844499,9.458860757,10.56956903,10.49216268,8.108840904,5.590669948,6.252323134,9.089817312
17,19.26939389,25.58512462,19.79527555,20.39697881,20.02005646,18.23707361,19.98944413,19.69255268,16.7276959,15.54807523,19.19888077,16.35699889,15.77737339,17.10324393,15.77770992,16.95681271,2.054782653,15.90575489,14.11919114,15.97152923,15.55784424,16.3965038,18.78629498,16.83141971,25.06936924,23.08901113,25.22656291,24.91523243,23.52943386,18.54445811,17.08759402,24.94277985,19.26939389,25.58512462,19.79527555,20.39697881,20.02005646,18.23707361,19.98944413,19.69255268,16.7276959,15.54807523,19.19888077,16.35699889,15.77737339,17.10324393,15.77770992,16.95681271,2.054782653,15.90575489,14.11919114,15.97152923,15.55784424,16.3965038,18.78629498,16.83141971,25.06936924,23.08901113,25.22656291,24.91523243,23.52943386,18.54445811,17.08759402,24.94277985
18,42.53741274,48.72951039,43.39415827,46.3223778,45.29043864,41.30035196,45.02794459,44.44911532,38.92242027,37.24128894,45.17985657,40.94309768,38.92561281,40.73792587,39.02265451,40.26336311,6.879470312,39.07241913,33.14256729,38.26712283,37.77514045,38.48345785,43.01251577,39.13115434,49.43221957,48.72994599,49.2960695,50.08334581,53.27650808,45.00579817,39.26406161,53.60886903,42.53741274,48.72951039,43.39415827,46.3223778,45.29043864,41.30035196,45.02794459,44.44911532,38.92242027,37.24128894,45.17985657,40.94309768,38.92561281,40.73792587,39.02265451,40.26336311,6.879470312,39.07241913,33.14256729,38.26712283,37.77514045,38.48345785,43.01251577,39.13115434,49.43221957,48.72994599,49.2960695,50.08334581,53.27650808,45.00579817,39.26406161,53.60886903
19,87.91470579,106.6874059,84.03817541,95.26761758,81.49522115,82.17029534,84.28931854,83.51066028,76.29780478,70.85727884,86.96395768,78.50171416,75.20257781,79.48445883,73.84422269,76.78611996,11.25874701,71.70596728,62.62588219,74.88919758,72.58558991,71.85995745,78.14490568,73.88788398,99.54192136,101.2623845,100.3894852,102.2044165,101.7117956,80.77161636,77.12929465,102.8215595,87.91470579,106.6874059,84.03817541,95.26761758,81.49522115,82.17029534,84.28931854,83.51066028,76.29780478,70.85727884,86.96395768,78.50171416,75.20257781,79.48445883,73.84422269,76.78611996,11.25874701,71.70596728,62.62588219,74.88919758,72.58558991,71.85995745,78.14490568,73.88788398,99.54192136,101.2623845,100.3894852,102.2044165,101.7117956,80.77161636,77.12929465,102.8215595
