Fr,ch0,ch1,ch2,ch3,ch4,ch5, ch0 , ch1 , ch2 , ch3 , ch4 , ch5 
20,50.62452988,44.17904442,35.4479639,39.32870051,38.62597369,47.09586263,78.09065395,73.36587399,69.51923752,69.96451483,68.49293964,70.16991725
21,181.9143983,186.4772714,158.8060363,152.1551814,160.9690338,167.8026188,136.4945663,137.3256968,124.7529777,118.0146324,117.2105101,128.2218079
22,162.1926541,168.0408483,153.7692447,134.9339826,158.6402473,157.001442,101.6376983,101.5273819,95.10170747,87.93318348,97.94655494,98.32093655
23,22.59750788,25.97131199,27.58667786,21.03568729,21.8814679,23.62186566,39.33688081,36.40356281,36.68374978,41.27210036,37.83332817,38.50032573
24,60.98009397,58.74274434,62.35706235,57.05094704,52.48820755,52.61342709,41.35262073,40.12366726,41.97720762,41.2046885,36.85254032,36.92797014
25,84.76907099,85.12978493,90.45755988,88.75711071,90.0831586,92.32159054,54.45143488,54.86292031,57.89947877,56.75264802,58.66054684,57.62082642
26,70.99273415,72.4410337,76.96179082,73.16477335,78.1593026,78.64582233,77.2908257,79.05163559,81.1025722,80.37403969,79.96695796,82.08613167
27,20.97594249,22.61142698,25.39971375,22.44394452,24.85952321,23.18288608,33.82988825,35.1238201,33.93886817,35.5919869,33.5617654,34.37320312
28,1.542621579,1.652147056,1.879264199,1.773936716,1.357157045,1.65935921,6.598631297,6.507305964,5.53075282,6.727159278,5.686375215,6.231633237
29,5.588419313,5.128247111,5.375804825,6.232609392,5.15618922,5.335714353,3.462421961,3.237160073,3.216127102,3.658318039,3.141175103,3.274168266
30,2.295094443,2.315140839,2.300329226,2.50122102,2.28155758,2.232488072,1.389617384,1.411105692,1.395427692,1.492364208,1.378056455,1.371477821
31,1.450030866,1.442028634,1.43042688,1.523704503,1.529353859,1.4289594,1.78973419,1.891105987,1.931162424,1.965126529,1.972822111,1.95853809
32,19.66253319,19.38572985,22.95452032,20.69901239,20.49590132,19.48474193,17.53641151,17.36052714,19.4494235,17.9895327,17.95916813,17.17491233
33,31.72833617,33.85760638,35.13075875,31.99004252,32.59822026,30.28712005,27.58912859,28.74358731,30.67635102,29.097539,27.89819095,26.39144645
34,19.08030913,19.20637611,17.88465425,17.82997008,18.34793548,16.26936263,12.26478881,12.29674721,12.91580659,12.95091363,12.27525315,11.72314653
35,8.406584192,5.759200481,7.478041024,8.50019491,9.224506197,8.547354215,12.12690992,10.27596094,11.79845048,13.48091945,12.29307419,12.82217093
36,20.21370102,18.35716899,17.75600921,17.73166624,19.42118983,20.59967721,29.31859094,31.98612382,29.55551422,32.2241954,30.01054828,30.21703778
37,47.95848513,45.6962368,40.58067677,46.2102352,42.460196,46.49583061,44.8384835,46.23999017,42.07975368,47.56172866,43.01489995,45.85524822
38,33.24148489,31.24985264,29.41691919,35.09574036,33.58729559,32.04285952,44.12341983,45.95425745,43.22281822,47.18394227,44.47391897,47.20376681
39,13.84757888,16.38673581,12.74464416,16.52608245,16.54243726,16.38405374,9.365030867,11.82633378,9.102171435,11.07147526,11.25690679,11.80472686
40,25.69480746,29.18380484,28.14225797,31.11147049,31.14718364,31.75917626,27.1873631,28.9545461,29.28803737,29.60101247,29.66141284,29.3261502
41,21.82408188,21.47239143,25.20618528,25.63664574,23.83635658,23.35362219,20.41563047,20.64642561,22.78656114,23.37341858,21.45569772,20.74704074
42,18.63951275,18.78365548,18.65758236,19.99227979,17.90174459,17.5673493,12.03456828,12.77353785,12.144503,13.09310791,11.58550514,11.381759
43,8.433393365,7.311724365,6.997404085,8.013528773,7.129674616,7.637087086,4.459923275,3.93089107,3.69389531,4.224038319,3.808242281,4.021532027
44,0.451271621,0.401325845,0.362244817,0.525250348,0.381379402,0.527138203,0.844216426,0.775724328,0.802792064,0.759611649,0.712586687,0.812787758
45,0.425418183,0.45737446,0.429819262,0.42720568,0.460018087,0.47106167,0.541536489,0.536906105,0.562689091,0.513287406,0.534397204,0.558089645
46,1.405040078,1.636938219,1.417791885,1.690993344,1.693482238,1.6959833,1.663074379,2.045653442,1.652360365,1.855852889,1.839822348,1.850734644
47,1.166455462,1.34167848,1.000678284,1.070778266,1.041189495,1.402645926,4.838255963,5.206038066,4.595931352,4.663882585,4.525143242,4.809851725
48,12.95121,12.20924795,12.322342,12.85119537,11.15294501,12.47862477,15.01201614,14.60951761,15.10304217,14.47947467,14.25683935,13.99249357
49,18.81435549,20.3280191,17.9551515,20.2950039,19.64909042,18.93068891,20.69270419,21.37906608,21.04062178,21.94445802,21.59453254,20.07892461
50,45.34557475,47.2053128,45.96231739,44.77550845,48.2806019,46.12843393,28.75847775,29.13507312,29.29413675,29.04124163,30.06622517,28.72830833
51,63.02164658,60.1546085,63.36281714,58.19017049,64.66026753,62.6219488,35.23904405,33.48485744,35.09444966,31.84440695,35.45323799,34.33601015
52,45.44907132,42.45158636,47.0400615,44.09806026,45.65268312,46.88961096,26.70091359,24.70837348,27.33474109,25.50490303,26.35095828,26.78373099
53,14.67930338,15.86122879,18.12976055,15.48114067,16.17257832,18.17124441,17.89975102,17.0744668,19.4715671,18.3450979,18.88934855,19.39434419
54,15.13039461,15.05994181,14.0573105,15.17591966,15.315007,14.81709038,16.16917114,14.50683953,15.22463998,16.55535391,15.74278538,15.88848101
