Time,Unit1,Unit2,Unit3,Unit 4,Unit5,Unit6,Unit7,Unit8,Unit9,Unit10,Unit11,Unit12,Unit13,Unit14,Unit15,Unit16
0.75,3,3,2,0,2,2,1,1,2,1,1,0,1,1,2,1
0.76,4,0,0,0,5,2,0,0,0,2,0,1,1,2,1,1
0.77,3,2,0,1,2,2,1,0,1,1,1,0,0,1,2,2
0.78,3,1,0,0,4,4,0,0,0,0,0,1,2,2,1,1
0.79,2,2,0,1,3,1,1,0,2,0,0,0,2,1,3,0
0.8,3,0,0,0,3,0,0,0,3,0,1,1,1,1,1,1
0.81,3,2,0,2,1,1,0,0,3,1,1,1,1,4,1,0
0.82,7,2,0,0,3,1,0,0,2,0,4,0,0,3,0,1
0.83,3,3,0,0,3,1,0,0,1,1,1,0,1,3,1,2
0.84,1,1,0,1,2,2,0,0,0,0,1,1,1,2,1,0
0.85,2,0,0,1,3,2,1,0,1,0,2,0,2,2,0,0
0.86,2,0,0,0,4,0,0,0,0,0,0,0,1,3,1,0
0.87,5,1,0,0,2,0,0,2,3,0,0,0,0,2,0,0
0.88,3,1,0,0,5,1,0,0,0,3,2,0,1,0,0,0
0.89,3,1,0,0,4,2,0,0,0,1,1,1,1,1,0,2
0.9,1,1,0,0,3,4,1,1,1,0,1,1,0,1,0,0
0.91,0,0,0,0,3,3,0,1,0,0,0,1,2,2,0,0
0.92,4,1,1,0,3,1,0,0,1,0,4,0,0,1,2,1
0.93,5,3,1,0,4,1,0,0,0,0,1,0,0,1,1,1
0.94,5,0,1,0,4,1,0,1,2,1,1,0,0,2,1,0
0.95,3,0,0,4,3,0,0,1,0,0,1,0,0,3,0,0
0.96,4,0,0,0,4,0,0,0,2,0,0,1,1,3,1,0
0.97,3,0,0,0,3,2,0,2,0,0,2,0,0,3,1,1
0.98,7,0,1,1,3,2,1,1,0,2,0,0,0,2,2,1
0.99,6,2,0,2,1,3,1,1,0,1,1,2,1,2,1,1
1,3,1,0,1,2,1,0,1,1,2,0,1,1,2,1,0
1.01,6,1,1,1,11,6,0,7,12,2,6,1,1,2,0,2
1.02,10,0,2,6,11,7,0,7,4,2,11,6,7,9,3,8
1.03,25,1,9,0,5,2,0,11,0,4,4,8,3,4,2,4
1.04,18,8,0,2,4,0,1,13,3,7,2,2,1,5,7,1
1.05,11,3,0,1,3,0,3,6,2,3,6,0,3,6,5,1
1.06,14,1,0,0,3,1,1,5,1,2,3,0,0,5,6,4
1.07,14,2,0,0,4,2,2,1,0,1,1,0,0,5,3,2
1.08,18,1,2,1,6,0,4,2,0,0,2,1,2,6,1,3
1.09,10,3,2,0,4,4,0,2,0,0,1,1,0,3,2,1
1.1,10,1,0,1,3,4,1,1,0,1,1,0,1,4,1,1
1.11,3,1,0,0,4,1,1,1,0,1,0,0,0,6,1,0
1.12,3,0,1,2,3,2,1,0,0,0,0,0,0,4,1,0
1.13,7,0,0,0,3,0,1,0,0,0,0,0,0,3,0,1
1.14,5,1,0,0,1,1,2,0,0,0,0,1,1,1,0,1
1.15,7,2,0,0,1,1,1,0,0,0,0,1,0,1,0,0
1.16,6,0,2,1,4,2,0,0,0,0,0,1,0,0,0,0
1.17,5,1,0,0,5,2,3,0,0,0,0,0,2,0,0,0
1.18,4,1,0,2,4,2,1,0,0,0,0,0,0,1,0,0
1.19,3,0,0,0,2,1,1,0,0,0,1,0,0,0,0,1
1.2,6,2,1,0,2,2,0,0,0,0,1,0,0,0,0,0
1.21,6,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0
1.22,6,0,1,0,2,1,0,1,0,0,2,0,0,0,0,0
